     62    12     7   8.67e-12  8.82e-12  8.89e-12  9.32e-12  1.08e-11  1.32e-11  1.60e-11  1.85e-11  2.06e-11  2.24e-11  2.54e-11
     63    12     8   1.60e-11  1.66e-11  1.68e-11  1.67e-11  1.67e-11  1.70e-11  1.76e-11  1.86e-11  1.98e-11  2.12e-11  2.45e-11
     64    12     9   3.43e-11  3.53e-11  3.56e-11  3.62e-11  3.79e-11  4.06e-11  4.35e-11  4.59e-11  4.78e-11  4.94e-11  5.20e-11
     65    12    10   8.08e-11  8.81e-11  9.06e-11  8.99e-11  8.53e-11  8.25e-11  8.24e-11  8.40e-11  8.65e-11  8.93e-11  9.50e-11
     66    12    11   6.31e-11  6.93e-11  7.24e-11  7.59e-11  7.66e-11  7.71e-11  7.83e-11  7.96e-11  8.09e-11  8.22e-11  8.45e-11
     67    13     1   3.28e-15  3.57e-15  3.84e-15  4.93e-15  9.38e-15  2.17e-14  4.89e-14  8.79e-14  1.36e-13  1.92e-13  3.25e-13
     68    13     2   2.14e-14  2.29e-14  2.42e-14  2.99e-14  5.21e-14  1.09e-13  2.26e-13  3.84e-13  5.73e-13  7.84e-13  1.26e-12
     69    13     3   6.05e-14  6.34e-14  6.63e-14  7.85e-14  1.24e-13  2.29e-13  4.16e-13  6.45e-13  8.98e-13  1.16e-12  1.74e-12
     70    13     4   2.49e-13  2.59e-13  2.68e-13  3.07e-13  4.51e-13  7.51e-13  1.25e-12  1.81e-12  2.39e-12  2.97e-12  4.10e-12
     71    13     5   5.39e-13  5.52e-13  5.65e-13  6.21e-13  8.17e-13  1.17e-12  1.66e-12  2.14e-12  2.61e-12  3.07e-12  4.04e-12
     72    13     6   1.89e-12  1.93e-12  1.97e-12  2.13e-12  2.73e-12  3.77e-12  5.20e-12  6.57e-12  7.83e-12  8.97e-12  1.10e-11
     73    13     7   3.30e-12  3.38e-12  3.43e-12  3.57e-12  4.00e-12  4.64e-12  5.36e-12  6.02e-12  6.69e-12  7.47e-12  9.69e-12
     74    13     8   1.02e-11  1.04e-11  1.05e-11  1.09e-11  1.24e-11  1.48e-11  1.75e-11  1.99e-11  2.19e-11  2.36e-11  2.64e-11
     75    13     9   1.59e-11  1.67e-11  1.71e-11  1.72e-11  1.72e-11  1.75e-11  1.81e-11  1.90e-11  2.02e-11  2.17e-11  2.54e-11
     76    13    10   3.80e-11  3.94e-11  3.96e-11  3.97e-11  4.10e-11  4.35e-11  4.62e-11  4.84e-11  5.02e-11  5.17e-11  5.42e-11
     77    13    11   7.51e-11  8.26e-11  8.59e-11  8.71e-11  8.40e-11  8.18e-11  8.20e-11  8.38e-11  8.63e-11  8.91e-11  9.49e-11
     78    13    12   7.00e-11  7.64e-11  7.85e-11  7.96e-11  7.93e-11  7.96e-11  8.08e-11  8.23e-11  8.38e-11  8.53e-11  8.85e-11
     79    14     1   2.39e-15  2.28e-15  2.34e-15  2.86e-15  5.40e-15  1.31e-14  3.22e-14  6.29e-14  1.07e-13  1.66e-13  3.68e-13
     80    14     2   1.04e-14  9.72e-15  9.82e-15  1.16e-14  2.05e-14  4.58e-14  1.04e-13  1.91e-13  3.09e-13  4.62e-13  9.29e-13
     81    14     3   4.76e-14  4.38e-14  4.35e-14  4.92e-14  7.88e-14  1.55e-13  3.11e-13  5.25e-13  7.87e-13  1.10e-12  1.90e-12
     82    14     4   1.21e-13  1.10e-13  1.08e-13  1.17e-13  1.71e-13  2.98e-13  5.24e-13  8.01e-13  1.11e-12  1.44e-12  2.17e-12
     83    14     5   4.60e-13  4.14e-13  4.03e-13  4.28e-13  5.88e-13  9.38e-13  1.51e-12  2.17e-12  2.86e-12  3.55e-12  4.94e-12
     84    14     6   9.13e-13  8.13e-13  7.84e-13  8.03e-13  9.96e-13  1.38e-12  1.92e-12  2.45e-12  2.95e-12  3.43e-12  4.34e-12
     85    14     7   3.10e-12  2.76e-12  2.66e-12  2.70e-12  3.28e-12  4.41e-12  5.99e-12  7.54e-12  8.98e-12  1.03e-11  1.27e-11
     86    14     8   4.84e-12  4.34e-12  4.17e-12  4.10e-12  4.43e-12  5.04e-12  5.78e-12  6.44e-12  7.08e-12  7.76e-12  9.43e-12
     87    14     9   1.53e-11  1.37e-11  1.31e-11  1.28e-11  1.41e-11  1.65e-11  1.95e-11  2.21e-11  2.44e-11  2.64e-11  2.98e-11
     88    14    10   2.06e-11  1.90e-11  1.85e-11  1.79e-11  1.76e-11  1.77e-11  1.83e-11  1.92e-11  2.03e-11  2.16e-11  2.48e-11
     89    14    11   5.24e-11  4.79e-11  4.62e-11  4.44e-11  4.48e-11  4.70e-11  4.98e-11  5.22e-11  5.42e-11  5.59e-11  5.88e-11
     90    14    12   8.90e-11  8.60e-11  8.59e-11  8.49e-11  8.17e-11  8.01e-11  8.07e-11  8.29e-11  8.56e-11  8.85e-11  9.47e-11
     91    14    13   9.17e-11  8.86e-11  8.79e-11  8.65e-11  8.46e-11  8.40e-11  8.44e-11  8.52e-11  8.61e-11  8.70e-11  8.89e-11
